Timestamp,How many hours do you study per week on average?,What is your GPA? (Anonymous),How often do you attend your lectures?,Do you study regularly (daily or almost daily)?,When do you usually start studying before an exam?,What is your preferred study method?,How many hours do you sleep per day?,Do you currently have a job?
2026/04/04 9:22:12 PM GMT+2,15,2.85,Always (almost every lecture),Often (4–5 days a week),A few days before,Reading and summarizing;Solving problems/practice questions;Group study;Memorization only,6,Yes (part-time)
2026/04/04 9:24:26 PM GMT+2,9,3.23,Always (almost every lecture),Sometimes (2–3 days a week),A few days before,Reading and summarizing;Solving problems/practice questions;Watching videos/online lectures,5,Yes (part-time)
2026/04/04 9:26:04 PM GMT+2,20,3.42,Always (almost every lecture),"Yes, daily",1–2 weeks before,Solving problems/practice questions;Watching videos/online lectures,7,No
2026/04/04 9:27:09 PM GMT+2,6,2.32,Always (almost every lecture),Sometimes (2–3 days a week),A few days before,Reading and summarizing;Solving problems/practice questions;Memorization only,6,No
2026/04/04 9:34:23 PM GMT+2,5,3.4,Always (almost every lecture),Sometimes (2–3 days a week),A few days before,Reading and summarizing;Watching videos/online lectures,8,Yes (part-time)
2026/04/04 9:35:15 PM GMT+2,5,3,Often (more than 75%),Sometimes (2–3 days a week),The day before,Reading and summarizing;Solving problems/practice questions;Watching videos/online lectures,12,No
2026/04/04 9:36:42 PM GMT+2,10,2,Sometimes (around 50%),Sometimes (2–3 days a week),A few days before,Reading and summarizing,9,Yes (part-time)
2026/04/04 9:36:50 PM GMT+2,7,2.8,Sometimes (around 50%),Often (4–5 days a week),A few days before,Solving problems/practice questions,8,No
2026/04/04 9:37:01 PM GMT+2,25,3.7,Often (more than 75%),Sometimes (2–3 days a week),1–2 weeks before,Reading and summarizing;Solving problems/practice questions;Watching videos/online lectures,8,Yes (part-time)
2026/04/04 9:37:11 PM GMT+2,0,2.01,Sometimes (around 50%),Rarely,A few days before,Reading and summarizing;Solving problems/practice questions;Watching videos/online lectures,10,No
2026/04/04 9:37:29 PM GMT+2,3,3.52,Sometimes (around 50%),Rarely,The day before,Reading and summarizing;Watching videos/online lectures;Group study,6,Yes (part-time)
2026/04/04 9:37:32 PM GMT+2,20,2,Often (more than 75%),Often (4–5 days a week),1–2 weeks before,Reading and summarizing;Solving problems/practice questions;Watching videos/online lectures,7,No
2026/04/04 9:42:33 PM GMT+2,28,3.3,Often (more than 75%),Often (4–5 days a week),A few days before,Reading and summarizing;Solving problems/practice questions;Watching videos/online lectures,6.5,Yes (part-time)
2026/04/04 9:42:59 PM GMT+2,10,3.1,Often (more than 75%),Often (4–5 days a week),The day before,Reading and summarizing;Solving problems/practice questions,7,No
2026/04/04 9:43:50 PM GMT+2,6,3.45,Always (almost every lecture),Sometimes (2–3 days a week),The day before,Solving problems/practice questions,7,No
2026/04/04 9:55:27 PM GMT+2,10,2.8,Sometimes (around 50%),Sometimes (2–3 days a week),1–2 weeks before,Reading and summarizing;Solving problems/practice questions;Watching videos/online lectures,8,No
2026/04/04 9:56:28 PM GMT+2,2,2.9,Often (more than 75%),Rarely,The day before,Watching videos/online lectures,6,No
2026/04/04 10:03:50 PM GMT+2,16,2.5,Often (more than 75%),Often (4–5 days a week),A few days before,Solving problems/practice questions;Watching videos/online lectures;Group study,6,No
2026/04/04 10:09:45 PM GMT+2,6,2.87,Always (almost every lecture),Sometimes (2–3 days a week),A few days before,Solving problems/practice questions,8,No
2026/04/04 10:17:42 PM GMT+2,6,2.2,Often (more than 75%),Sometimes (2–3 days a week),A few days before,Reading and summarizing;Solving problems/practice questions;Group study,10,No
2026/04/04 10:30:18 PM GMT+2,8,3.25,Often (more than 75%),Sometimes (2–3 days a week),A few days before,Solving problems/practice questions,8,No
2026/04/04 10:44:51 PM GMT+2,30,2.55,Often (more than 75%),Often (4–5 days a week),1–2 weeks before,Solving problems/practice questions,7,No
2026/04/04 10:45:06 PM GMT+2,10,3.4,Sometimes (around 50%),Sometimes (2–3 days a week),A few days before,Solving problems/practice questions,9,No
2026/04/04 10:46:05 PM GMT+2,14,2.5,Often (more than 75%),Sometimes (2–3 days a week),A few days before,Reading and summarizing;Solving problems/practice questions;Watching videos/online lectures,8,No
2026/04/04 11:10:59 PM GMT+2,8,3.2,Sometimes (around 50%),Sometimes (2–3 days a week),The day before,Solving problems/practice questions,9,Yes (part-time)
2026/04/04 11:14:49 PM GMT+2,10,3.3,Often (more than 75%),Often (4–5 days a week),1–2 weeks before,Reading and summarizing,8,No
2026/04/05 12:00:52 AM GMT+2,20,3.04,Rarely (less than 25%),Often (4–5 days a week),1–2 weeks before,Reading and summarizing;Solving problems/practice questions;Watching videos/online lectures,6,No
2026/04/05 2:08:59 AM GMT+2,8,3.01,Often (more than 75%),Often (4–5 days a week),1–2 weeks before,Reading and summarizing;Solving problems/practice questions;Watching videos/online lectures,5,No
2026/04/05 2:58:36 AM GMT+2,8,3.08,Sometimes (around 50%),Often (4–5 days a week),A few days before,Reading and summarizing;Solving problems/practice questions;Watching videos/online lectures,9,No
2026/04/05 3:02:31 AM GMT+2,10,2.2,Always (almost every lecture),Sometimes (2–3 days a week),The day before,Reading and summarizing;Solving problems/practice questions,8,No
2026/04/05 6:45:57 AM GMT+2,23,3,Often (more than 75%),Sometimes (2–3 days a week),A few days before,Solving problems/practice questions;Watching videos/online lectures,6,No
2026/04/05 9:42:44 AM GMT+2,1.5,3.51,Always (almost every lecture),Sometimes (2–3 days a week),A few days before,Reading and summarizing;Solving problems/practice questions,6,No
2026/04/05 10:53:05 AM GMT+2,7,3.9,Always (almost every lecture),Sometimes (2–3 days a week),A few days before,Reading and summarizing;Solving problems/practice questions;Watching videos/online lectures,5,Yes (part-time)
2026/04/05 10:55:41 AM GMT+2,10,3.43,Often (more than 75%),Rarely,A few days before,Reading and summarizing;Watching videos/online lectures,6,No
2026/04/05 10:58:39 AM GMT+2,2.5,2.91,Often (more than 75%),Sometimes (2–3 days a week),A few days before,Solving problems/practice questions;Watching videos/online lectures,8,No
2026/04/05 11:28:00 AM GMT+2,21,3.16,Always (almost every lecture),Sometimes (2–3 days a week),A few days before,Solving problems/practice questions,6,No
2026/04/05 11:58:53 AM GMT+2,5,3.8,Often (more than 75%),Rarely,A few days before,Reading and summarizing;Solving problems/practice questions;Watching videos/online lectures,6,Yes (part-time)
2026/04/05 12:33:02 PM GMT+2,7,3.94,Rarely (less than 25%),Sometimes (2–3 days a week),A few days before,Reading and summarizing;Solving problems/practice questions,8,Yes (part-time)
2026/04/05 4:38:22 PM GMT+2,10,2.6,Often (more than 75%),Often (4–5 days a week),A few days before,Solving problems/practice questions;Watching videos/online lectures;Group study,8,No
2026/04/05 4:48:22 PM GMT+2,4,3.1,Always (almost every lecture),Sometimes (2–3 days a week),A few days before,Solving problems/practice questions;Watching videos/online lectures;Group study,8,Yes (part-time)
2026/04/05 5:15:29 PM GMT+2,8,2.89,Always (almost every lecture),Often (4–5 days a week),A few days before,Reading and summarizing;Solving problems/practice questions;Watching videos/online lectures;Group study,6,No
2026/04/05 5:34:47 PM GMT+2,14,3.5,Often (more than 75%),Often (4–5 days a week),A few days before,Reading and summarizing;Solving problems/practice questions,7,No
2026/04/05 5:36:39 PM GMT+2,20,1111,Always (almost every lecture),Often (4–5 days a week),The day before,Reading and summarizing;Solving problems/practice questions;Watching videos/online lectures,6,No
2026/04/05 5:37:21 PM GMT+2,10,2.8,Often (more than 75%),Often (4–5 days a week),1–2 weeks before,Reading and summarizing;Solving problems/practice questions;Group study,6,No
2026/04/05 5:39:22 PM GMT+2,10,2.4,Sometimes (around 50%),Often (4–5 days a week),A few days before,Reading and summarizing;Watching videos/online lectures;Group study,4,No
2026/04/05 5:39:28 PM GMT+2,14,3.3,Often (more than 75%),Sometimes (2–3 days a week),A few days before,Reading and summarizing;Solving problems/practice questions,8,Yes (part-time)
2026/04/05 5:41:31 PM GMT+2,14,2,Often (more than 75%),Sometimes (2–3 days a week),A few days before,Reading and summarizing;Solving problems/practice questions;Watching videos/online lectures,6,No
2026/04/05 6:00:34 PM GMT+2,13,2.9,Often (more than 75%),Sometimes (2–3 days a week),A few days before,Watching videos/online lectures,7,No
2026/04/05 6:07:33 PM GMT+2,10,2.5,Often (more than 75%),Sometimes (2–3 days a week),The day before,Reading and summarizing;Solving problems/practice questions;Memorization only,7,No
2026/04/05 6:14:41 PM GMT+2,10,3.44,Always (almost every lecture),Sometimes (2–3 days a week),A few days before,Reading and summarizing;Solving problems/practice questions;Watching videos/online lectures,7,No
2026/04/05 6:44:54 PM GMT+2,6,3.6,Always (almost every lecture),Sometimes (2–3 days a week),The day before,Solving problems/practice questions,8,No
2026/04/05 7:54:01 PM GMT+2,5,3.2,Always (almost every lecture),Often (4–5 days a week),A few days before,Watching videos/online lectures;Group study,8,No
2026/04/05 10:03:08 PM GMT+2,10,3.26,Often (more than 75%),Often (4–5 days a week),1–2 weeks before,Solving problems/practice questions;Watching videos/online lectures,8,No
2026/04/06 2:10:04 PM GMT+2,10,2.56,Always (almost every lecture),Sometimes (2–3 days a week),A few days before,Reading and summarizing;Solving problems/practice questions;Watching videos/online lectures;Group study,8,No
2026/04/06 3:13:26 PM GMT+2,4,2.9,Sometimes (around 50%),Rarely,A few days before,Reading and summarizing;Memorization only,6,Yes (full-time)
2026/04/06 3:47:19 PM GMT+2,0,3.3,Rarely (less than 25%),Never,The day before,Solving problems/practice questions;Watching videos/online lectures,10,Yes (full-time)
2026/04/06 3:54:55 PM GMT+2,4,2.4,Often (more than 75%),Sometimes (2–3 days a week),The day before,Reading and summarizing;Memorization only,12,No
2026/04/06 4:02:25 PM GMT+2,56,3,Always (almost every lecture),"Yes, daily",A few days before,Reading and summarizing;Solving problems/practice questions,5,No
2026/04/06 4:07:53 PM GMT+2,60,4,Always (almost every lecture),Often (4–5 days a week),A few days before,Solving problems/practice questions,4,Yes (part-time)
2026/04/06 4:12:47 PM GMT+2,3.5,3,Always (almost every lecture),Often (4–5 days a week),A few days before,Solving problems/practice questions;Watching videos/online lectures,6,No
2026/04/06 4:13:03 PM GMT+2,7,2.65,Sometimes (around 50%),Sometimes (2–3 days a week),1–2 weeks before,Watching videos/online lectures,6,No
2026/04/06 4:13:28 PM GMT+2,6,3.15,Always (almost every lecture),Sometimes (2–3 days a week),A few days before,Solving problems/practice questions;Watching videos/online lectures,5,No
2026/04/06 4:14:03 PM GMT+2,30,3.4,Always (almost every lecture),Sometimes (2–3 days a week),A few days before,Reading and summarizing;Solving problems/practice questions;Memorization only,8,No
2026/04/06 4:15:41 PM GMT+2,7,2.45,Often (more than 75%),Sometimes (2–3 days a week),The day before,Reading and summarizing,6,Yes (part-time)
2026/04/06 4:18:34 PM GMT+2,8,2.7,Always (almost every lecture),Sometimes (2–3 days a week),1–2 weeks before,Reading and summarizing;Solving problems/practice questions;Watching videos/online lectures,6,No
2026/04/06 4:19:47 PM GMT+2,16,1.9,Often (more than 75%),Often (4–5 days a week),1–2 weeks before,Solving problems/practice questions;Watching videos/online lectures,4,No
2026/04/06 4:22:15 PM GMT+2,2,2.75,Often (more than 75%),Rarely,The day before,Reading and summarizing;Watching videos/online lectures,8,No
2026/04/06 4:26:40 PM GMT+2,5,3.45,Sometimes (around 50%),Sometimes (2–3 days a week),The day before,Reading and summarizing;Solving problems/practice questions;Watching videos/online lectures,8,No
2026/04/06 4:27:58 PM GMT+2,10,2.8,Often (more than 75%),Often (4–5 days a week),A few days before,Reading and summarizing;Solving problems/practice questions,6,No
2026/04/06 4:28:42 PM GMT+2,20,3.5,Often (more than 75%),"Yes, daily",1–2 weeks before,Reading and summarizing;Solving problems/practice questions,6,No
2026/04/06 4:32:43 PM GMT+2,42,3.24,Always (almost every lecture),"Yes, daily",A few days before,Solving problems/practice questions;Watching videos/online lectures;Group study,5,No
2026/04/06 4:36:19 PM GMT+2,10,3.2,Always (almost every lecture),Sometimes (2–3 days a week),A few days before,Reading and summarizing;Solving problems/practice questions,8,Yes (part-time)
2026/04/06 4:47:45 PM GMT+2,21,3,Never,Often (4–5 days a week),1–2 weeks before,Solving problems/practice questions;Watching videos/online lectures,10,Yes (part-time)
2026/04/06 4:50:56 PM GMT+2,20,3.77,Always (almost every lecture),Often (4–5 days a week),A few days before,Reading and summarizing;Solving problems/practice questions,8,No
2026/04/06 4:52:01 PM GMT+2,12,3.6,Often (more than 75%),"Yes, daily",1–2 weeks before,Reading and summarizing;Watching videos/online lectures,4,No
2026/04/06 4:53:20 PM GMT+2,5,3.6,Always (almost every lecture),Often (4–5 days a week),A few days before,Reading and summarizing;Memorization only,8,No
2026/04/06 4:54:39 PM GMT+2,6,3,Sometimes (around 50%),Sometimes (2–3 days a week),1–2 weeks before,Reading and summarizing;Solving problems/practice questions,4,No
2026/04/06 5:00:52 PM GMT+2,48,2.1,Always (almost every lecture),Rarely,A few days before,Reading and summarizing;Solving problems/practice questions;Watching videos/online lectures,12,No
2026/04/06 5:02:48 PM GMT+2,14,3.65,Often (more than 75%),Sometimes (2–3 days a week),A few days before,Solving problems/practice questions;Watching videos/online lectures,6,No
2026/04/06 5:05:01 PM GMT+2,2,3.8,Rarely (less than 25%),Rarely,The day before,Reading and summarizing;Solving problems/practice questions;Watching videos/online lectures,10,No
2026/04/06 5:10:11 PM GMT+2,7,2.84,Always (almost every lecture),Sometimes (2–3 days a week),The day before,Reading and summarizing;Solving problems/practice questions,10,No
2026/04/06 5:10:12 PM GMT+2,5,3.4,Always (almost every lecture),Rarely,1–2 weeks before,Reading and summarizing;Solving problems/practice questions,7,No
2026/04/06 5:27:07 PM GMT+2,20,3.93,Often (more than 75%),Sometimes (2–3 days a week),A few days before,Reading and summarizing;Solving problems/practice questions;Watching videos/online lectures;Group study,5,No
2026/04/06 5:43:38 PM GMT+2,15,2.7,Always (almost every lecture),Sometimes (2–3 days a week),1–2 weeks before,Reading and summarizing;Watching videos/online lectures;Memorization only,6,No
2026/04/06 6:05:46 PM GMT+2,24,3.7,Always (almost every lecture),Often (4–5 days a week),A few days before,Reading and summarizing;Solving problems/practice questions;Group study,4,No
2026/04/06 6:13:24 PM GMT+2,14,4,Always (almost every lecture),Often (4–5 days a week),1–2 weeks before,Solving problems/practice questions,9,No
2026/04/06 6:18:11 PM GMT+2,30,3.42,Sometimes (around 50%),Often (4–5 days a week),More than 2 weeks before,Reading and summarizing;Solving problems/practice questions;Watching videos/online lectures,9,Yes (part-time)
2026/04/06 6:55:26 PM GMT+2,5,1.8,Sometimes (around 50%),Rarely,A few days before,Reading and summarizing;Solving problems/practice questions,5,No
2026/04/06 7:24:13 PM GMT+2,10,3.1,Often (more than 75%),Sometimes (2–3 days a week),A few days before,Reading and summarizing;Solving problems/practice questions;Watching videos/online lectures,8,No
2026/04/06 7:53:35 PM GMT+2,4,3.7,Sometimes (around 50%),Rarely,The day before,Reading and summarizing,9,No
2026/04/06 8:01:58 PM GMT+2,3,3.35,Sometimes (around 50%),Sometimes (2–3 days a week),A few days before,Solving problems/practice questions;Watching videos/online lectures,7,No
2026/04/06 8:06:06 PM GMT+2,10,3.87,Sometimes (around 50%),Sometimes (2–3 days a week),1–2 weeks before,Solving problems/practice questions;Watching videos/online lectures;Group study,8,No
2026/04/06 8:21:42 PM GMT+2,7,2.2,Often (more than 75%),Often (4–5 days a week),The day before,Solving problems/practice questions;Group study,9,No
2026/04/06 8:31:36 PM GMT+2,6,3.47,Never,Rarely,The day before,Reading and summarizing;Solving problems/practice questions,7,Yes (part-time)
2026/04/06 8:32:56 PM GMT+2,15,2.8,Often (more than 75%),"Yes, daily",1–2 weeks before,Solving problems/practice questions,6,No
2026/04/06 9:50:43 PM GMT+2,3,3.24,Often (more than 75%),Rarely,1–2 weeks before,Reading and summarizing,8,No
2026/04/06 9:52:35 PM GMT+2,4,2.1,Often (more than 75%),Sometimes (2–3 days a week),A few days before,Solving problems/practice questions;Watching videos/online lectures,9,No
2026/04/06 10:34:52 PM GMT+2,50,3.7,Rarely (less than 25%),"Yes, daily",The day before,Solving problems/practice questions,8,No
2026/04/06 11:20:53 PM GMT+2,15,2.02,Often (more than 75%),Often (4–5 days a week),A few days before,Reading and summarizing;Solving problems/practice questions;Watching videos/online lectures,6,Yes (part-time)
2026/04/06 11:25:10 PM GMT+2,20,2.97,Often (more than 75%),Often (4–5 days a week),A few days before,Reading and summarizing,12,No
